"","","","","","","",""
한국폴리텍 I 대학 제주캠퍼스,본교,제주,사립,제주특별자치도 제주시 산천단동3길 2 (아라일동. 한국폴리택대학제주캠퍼스) ,jeju.kopo.ac.kr,064-754-7100,064-754-7112
한국폴리텍 II 대학 남인천캠퍼스,본교,인천,사립,인천광역시 남구 염전로333번길 23 (주안동. 한국폴리텍Ⅱ대학(남인천캠퍼스)) ,www.kopo.ac.kr/namincheon/index.do,032-450-0300,032-873-2098
한국폴리텍 II 대학 인천캠퍼스,본교,인천,사립,인천광역시 부평구 무네미로448번길 56 (구산동. 한국폴리텍Ⅱ대학) ,www.kopo.ac.kr,032-510-2114,032-519-6059
한국폴리텍 II 대학 화성캠퍼스,본교,경기,사립,,,,
한국폴리텍 III 대학 강릉캠퍼스,본교,강원,사립,강원도 강릉시 남산초교길 121 (노암동. 한국폴리텍3대학) ,kopo.ac.kr/gangneung,033-610-6111,033-610-6119
한국폴리텍 III 대학 원주캠퍼스,본교,강원,사립,강원도 원주시 북원로2425번길 73 (우산동. 한국폴리텍3대학) ,wonju.kopo.ac.kr,033-741-7000,033-741-7029
한국폴리텍 III 대학 춘천캠퍼스,본교,강원,사립,강원도 춘천시 동산면 영서로 1290-31 (원창리. 한국폴리텍Ⅲ대학) ,www.kopo.ac.kr/chuncheon/index.do,033-260-7654,033-262-7606
한국폴리텍 IV 대학 대전캠퍼스,본교,대전,사립,대전광역시 동구 우암로 352-21 (가양동. 한국폴리텍IV대학) ,www.kopo.ac.kr,042-670-0600,042-670-0589
한국폴리텍 IV 대학 아산캠퍼스,본교,충남,사립,충청남도 아산시 신창면 행목로 45 (행목리. 한국폴리텍Ⅳ대학아산캠퍼스) ,kopo.ac.kr/asan,041-539-9300,041-532-0300
한국폴리텍 IV 대학 청주캠퍼스,본교,충북,사립,충청북도 청주시 흥덕구 산단로 54 (송정동. 한국폴리텍Ⅳ대학청주캠퍼스) ,kopo.ac.kr/cheongju,043-279-7400,043-279-7477
한국폴리텍 IV 대학 홍성캠퍼스,본교,충남,사립,충청남도 홍성군 홍성읍 충서로 1200 (남장리. 한국폴리텍IV대학홍성) ,www.kopo.ac.kr/hongseong,041-630-3500,041-631-3522
한국폴리텍 V 대학 광주캠퍼스,본교,광주,사립,광주광역시 북구 하서로 85 (운암동. 한국폴리텍V대학) ,www.kopo.ac.kr/gwangju,062-519-7114,062-519-7039
한국폴리텍 V 대학 순천캠퍼스,본교,전남,사립,전라남도 순천시 기적의도서관1길 41 (조례동. 한국폴리텍대학순천캠퍼스) ,kopo.ac.kr/suncheon,061-721-0300,061-721-5280
한국폴리텍 V 대학 익산캠퍼스,본교,전북,사립,전라북도 익산시 선화로 579 (어양동. 한국폴리텍V대학) ,iksan.kopo.ac.kr,063-830-3024,063-830-3026
한국폴리텍 V 대학 전남캠퍼스,본교,전남,사립,전라남도 무안군 청계면 영산로 1854-16 한국폴리텍V대학 전남캠퍼스,www.kopo.ac.kr/jeonnam,061-450-7220,061-450-7224
한국폴리텍 V 대학 전북캠퍼스,본교,전북,사립,전라북도 김제시 백학제길 154 (백학동. 한국폴리텍V대학) ,gimje.kopo.ac.kr,063-540-7620,063-540-7625
한국폴리텍 VI 대학 구미캠퍼스,본교,경북,사립,경상북도 구미시 수출대로3길 84 (공단동. 한국폴리텍ⅵ대학구미캠퍼스) ,kopo.ac.kr/gumi,054-468-5201. 5205,054-464-2098
한국폴리텍 VI 대학 대구캠퍼스,본교,대구,사립,대구광역시 서구 국채보상로43길 15 (평리동. 한국폴리텍6대학) ,daegu.kopo.ac.kr,053-560-3131,053-560-3148
한국폴리텍 VI 대학 영남융합기술캠퍼스,본교,대구,사립,대구광역시 동구 팔공로 222(봉무동) ,kopo.ac.kr/yct,053-980-1100,053-980-1129
한국폴리텍 VI 대학 영주캠퍼스,본교,경북,사립,경상북도 영주시 가흥로 2 (문정동. 한국폴리텍VI대학) ,www.kopo.ac.kr/yeongju,054-639-4218,054-632-2098
한국폴리텍 VII 대학 동부산캠퍼스,본교,부산,사립,부산광역시 기장군 정관읍 산단4로 2-69 ,www.kopo.ac.kr/dongbusan,051-609-6000,051-728-5586
한국폴리텍 VII 대학 부산캠퍼스,본교,부산,사립,부산광역시 북구 만덕대로155번길 99 (덕천동. 한국폴리텍VII대학부산캠퍼스) ,www.kopo.ac.kr/busan,051-330-7800,051-332-4801
한국폴리텍 VII 대학 울산캠퍼스,본교,울산,사립,울산광역시 중구 산전길 155 (동동. 한국폴리텍7대학울산캠퍼스) ,kopo.ac.kr/ulsan,052-290-1500,052-290-1519
한국폴리텍 VII 대학 진주캠퍼스,본교,경남,사립,경상남도 진주시 모덕로 299(하대동) 한국폴리텍대학 진주캠퍼스,jinju.kopo.ac.kr,055-752-9901,055-752-0819
한국폴리텍 VII 대학 창원캠퍼스,본교,경남,사립,경상남도 창원시 성산구 외동반림로 51-88 (중앙동. 한국폴리텍VII대학) ,changwon.kopo.ac.kr,055-279-1700,055-279-1749
한국폴리텍 특성화대학 로봇캠퍼스,본교,경북,사립,경상북도 영천시 로봇캠퍼스로 1 (화룡동) ,https://www.kopo.ac.kr/robot/index.do, 054-706-1000, 054-706-1080
한국폴리텍 특성화대학 바이오캠퍼스,본교,충남,사립,충청남도 논산시 강경읍 동안로112번길 48 ,kopo.ac.kr/bio,041-746-7300,041-746-7310
한국폴리텍 특성화대학 반도체융합캠퍼스,본교,경기,사립,경기도 안성시 공도읍 송원길 41-12 (만정리. 한국폴리텍여자대학) ,www.kopo.ac.kr/semi,031-650-7205,031-651-4314
한국폴리텍 특성화대학 항공캠퍼스,본교,경남,사립,경상남도 사천시 대학길 46 (이금동. 한국폴리텍항공대학) ,www.kopo.ac.kr/kapc,055-830-3400,055-830-3414
한국항공대학교,본교,경기,사립,경기도 고양시 덕양구 항공대학로 76 (화전동. 한국항공대학교) ,www.kau.ac.kr,02-300-0114,02-3158-5769
한국해양대학교,본교,부산,국립,부산광역시 영도구 태종로 727 (동삼동. 한국해양대학교) ,www.kmou.ac.kr,051-410-4114,051-405-2475
한남대학교,본교,대전,사립,대전광역시 대덕구 한남로 70 (오정동. 한남대학교) ,www.hannam.ac.kr,042-629-7114,042-629-5874
한동대학교,본교,경북,사립,경상북도 포항시 북구 흥해읍 한동로 558 (남송리. 한동대학교) ,www.handong.edu,054-260-1111,054-260-1149
한라대학교,본교,강원,사립,강원도 원주시 흥업면 한라대길 28 (흥업리. 한라대학교) ,www.halla.ac.kr,033-760-1114,033-762-6705
한림대학교,본교,강원,사립,강원도 춘천시 한림대학길 1 (옥천동. 한림대학교) ,www.hallym.ac.kr,033-248-1000,033-248-3333
한림성심대학교,본교,강원,사립,강원도 춘천시 동면 장학길 48 (장학리. 한림성심대학교) ,www.hsc.ac.kr,033-240-9000,033-252-9462
한밭대학교,본교,대전,국립,대전광역시 유성구 동서대로 125 (덕명동. 한밭대학교) ,www.hanbat.ac.kr,042-821-1114,042-825-5395
한서대학교,본교,충남,사립,충청남도 서산시 해미면 한서1로 46 (대곡리. 한서대학교) ,www.hanseo.ac.kr,041-660-1144,041-660-1149
한성대학교,본교,서울,사립,서울특별시 성북구 삼선교로16길 116 (삼선동2가. 한성대학교) ,www.hansung.ac.kr,02-760-4231,02-745-8943
한세대학교,본교,경기,사립,경기도 군포시 한세로 30 (당정동) ,www.hansei.ac.kr,031-450-5114,031-450-5124
한신대학교,본교,경기,사립,경기도 오산시 한신대길 137 (양산동. 한신대학교) ,www.hs.ac.kr,031-379-0114,031-379-0039
한양대학교,본교,서울,사립,서울특별시 성동구 왕십리로 222 (사근동. 한양대학교) ,www.hanyang.ac.kr,02-2220-0114,02-2220-0199
한양대학교(ERICA),분교,경기,사립,경기도 안산시 상록구 한양대학로 55 (사동. 한양대학교) ,www.hanyang.ac.kr,031-400-5114,031-406-2809
한양사이버대학교,본교,서울,사립,서울특별시 성동구 왕십리로 220 (행당동. 한양사이버대학교) ,www.hycu.ac.kr,02-2290-0114,02-2290-0600
한양여자대학교,본교,서울,사립,서울특별시 성동구 살곶이길 200 (사근동. 한양여자대학) ,www.hywoman.ac.kr,02-2290-2114,02-2290-6111
한영대학교,본교,전남,사립,전라남도 여수시 장군산길 18-43 (여서동. 한영대학) ,www.hanyeong.ac.kr,061-650-4139,061-650-4020
한일장신대학교,본교,전북,사립,전라북도 완주군 상관면 왜목로 726-15 (신리. 한일장신대학교) ,www.hanil.ac.kr,063-230-5408,063-230-5679
협성대학교,본교,경기,사립,경기도 화성시 봉담읍 최루백로 72 (상리. 협성대학교) ,www.uhs.ac.kr,031-299-0900,031-227-3131
혜전대학교,본교,충남,사립,충청남도 홍성군 홍성읍 대학1길 19 ,www.hj.ac.kr,041-630-2455,041-634-6425
호남대학교,본교,광주,사립,광주광역시 광산구 호남대길 120 (서봉동. 호남대학본부) ,www.honam.ac.kr,062-940-5000,062-940-5005
호남신학대학교,본교,광주,사립,광주광역시 남구 제중로 77 (양림동. 호남신학대학교) ,www.htus.ac.kr,062-650-1552,062-675-1552
호산대학교,본교,경북,사립,경상북도 경산시 하양읍 대경로105길 19 (부호리. 호산대학교) ,www.hosan.ac.kr,053-850-8000,053-853-9715
호서대학교,본교,충남,사립,충청남도 아산시 배방읍 호서로79번길 20 (세출리. 호서대학교) ,www.hoseo.ac.kr,041-540-5114,041-540-5159
호원대학교,본교,전북,사립,전라북도 군산시 임피면 호원대3길 64 (월하리. 호원대학교) ,www.howon.ac.kr,063-450-7114,063-450-7777
홍익대학교,본교,서울,사립,서울특별시 마포구 와우산로 94 (상수동. 홍익대학교) ,www.hongik.ac.kr/,02-320-1114,02-320-1122
홍익대학교,제2캠퍼스,세종,사립,세종특별자치시 조치원읍 세종로 2639 (신안리. 홍익대학교세종캠퍼스) ,sejong.hongik.ac.kr,044-860-2114,044-860-2238
화신사이버대학교,본교,부산,사립,부산광역시 연제구 고분로191번길 1 (연산동. 화신사이버대학교) ,www.hscu.ac.kr,1588-5215,051-999-0159
